epoch,accuracy,loss,val_accuracy,val_loss
0,0.34645992517471313,0.49565204977989197,0.28421834111213684,0.5685424208641052
1,0.317049503326416,0.4172239303588867,0.3014533817768097,0.5739074349403381
2,0.3331563174724579,0.3889029920101166,0.3510254919528961,1.756961464881897
3,0.3394954800605774,0.3797074854373932,0.3625674545764923,0.7247663736343384
4,0.33725523948669434,0.36339691281318665,0.32919543981552124,0.5666775703430176
5,0.33846616744995117,0.3493086099624634,0.3357923924922943,0.4129379093647003
6,0.3384094834327698,0.34366652369499207,0.3752956986427307,0.4207272231578827
7,0.33984383940696716,0.33105677366256714,0.34893664717674255,0.42756983637809753
8,0.3417882025241852,0.32168295979499817,0.3536206781864166,0.4702157974243164
9,0.34124335646629333,0.32159364223480225,0.34262892603874207,0.4122871458530426
10,0.34031835198402405,0.3088720440864563,0.3511878252029419,0.3809381127357483
11,0.3392702043056488,0.30904459953308105,0.3166045546531677,0.3967439532279968
12,0.33742719888687134,0.3008541464805603,0.35417768359184265,0.3822909891605377
13,0.34239763021469116,0.28965508937835693,0.34998348355293274,0.37020984292030334
14,0.3429638147354126,0.28219854831695557,0.3521237075328827,0.36949586868286133
15,0.3389813303947449,0.277103453874588,0.34945589303970337,0.3634408116340637
16,0.3405635356903076,0.27006739377975464,0.34268978238105774,0.3801700472831726
17,0.33881255984306335,0.265525758266449,0.3460576832294464,0.4205920100212097
18,0.34366026520729065,0.2636668384075165,0.3365078270435333,0.36851292848587036
19,0.3424414396286011,0.25192785263061523,0.31834161281585693,0.33343520760536194
20,0.34180882573127747,0.2553095519542694,0.33499041199684143,0.3837309777736664
21,0.34171000123023987,0.2446594387292862,0.33165737986564636,0.36334484815597534
22,0.3371466100215912,0.2380843162536621,0.3331814408302307,0.3695913553237915
23,0.3485453128814697,0.2336883842945099,0.3406953513622284,0.354350745677948
24,0.34553632140159607,0.22854268550872803,0.32880327105522156,0.37601497769355774
25,0.343030720949173,0.21743546426296234,0.34852561354637146,0.3723065257072449
26,0.34778228402137756,0.20962511003017426,0.3350016176700592,0.3825512230396271
27,0.3417138159275055,0.21130512654781342,0.3479045629501343,0.3792005181312561
28,0.35045111179351807,0.19896575808525085,0.32050347328186035,0.3646238148212433
29,0.34362566471099854,0.20131553709506989,0.34656772017478943,0.3503727614879608
30,0.34423431754112244,0.1868940144777298,0.35305091738700867,0.39496171474456787
31,0.3422240614891052,0.18559694290161133,0.32695522904396057,0.37143975496292114
32,0.3314204514026642,0.18231402337551117,0.32459837198257446,0.40202367305755615
33,0.3443409502506256,0.1739201843738556,0.3431340157985687,0.3845409154891968
34,0.34716784954071045,0.16681993007659912,0.32244566082954407,0.38184258341789246
35,0.33988243341445923,0.16509577631950378,0.38218528032302856,0.3871805965900421
36,0.33842480182647705,0.16057077050209045,0.2739800214767456,0.44685569405555725
37,0.33673039078712463,0.1532469093799591,0.3258175551891327,0.37543949484825134
38,0.3259410560131073,0.1540420949459076,0.2971598207950592,0.3743633031845093
39,0.33137544989585876,0.1399172693490982,0.3527115285396576,0.40422579646110535
40,0.3332955837249756,0.1343965232372284,0.30474889278411865,0.44011983275413513
41,0.32072994112968445,0.13419224321842194,0.3433471620082855,0.3457852303981781
42,0.2915119528770447,0.13808071613311768,0.25817564129829407,0.4516706168651581
43,0.32090431451797485,0.1275910884141922,0.35026273131370544,0.3793737590312958
44,0.2797156572341919,0.13438403606414795,0.3370909094810486,0.37064945697784424
45,0.2906264066696167,0.1255330741405487,0.21965742111206055,0.404066801071167
46,0.29258233308792114,0.11539912223815918,0.23370502889156342,0.43966174125671387
47,0.2756636440753937,0.1179472804069519,0.20611822605133057,0.38796889781951904
48,0.3005697429180145,0.10648646950721741,0.3130660057067871,0.45003604888916016
49,0.271073579788208,0.11463920027017593,0.17467674612998962,0.5986189246177673
